,insee,nom,year,population,pct_ch,steps
0,78561,Saint-Lambert,1962,224.0,1.1666666666666667,2
1,78561,Saint-Lambert,1968,198.0,0.8839285714285714,3
2,78561,Saint-Lambert,1975,371.0,1.8737373737373737,4
3,78561,Saint-Lambert,1982,376.0,1.013477088948787,5
4,78561,Saint-Lambert,1990,382.0,1.0159574468085106,6
5,78561,Saint-Lambert,1999,379.0,0.9921465968586387,7
6,78561,Saint-Lambert,2006,375.0,0.9894459102902374,8
7,78561,Saint-Lambert,2007,388.31,1.0354933333333334,9
8,78561,Saint-Lambert,2008,402.0,1.0352553372305633,10
9,78561,Saint-Lambert,2009,415.0,1.0323383084577114,11
10,78561,Saint-Lambert,2010,418.0,1.0072289156626506,12
11,78561,Saint-Lambert,2011,436.0,1.0430622009569377,13
12,78561,Saint-Lambert,2012,440.0,1.0091743119266054,14
13,78561,Saint-Lambert,2013,444.0,1.009090909090909,15
14,78561,Saint-Lambert,2014,448.0,1.009009009009009,16
15,78561,Saint-Lambert,2015,451.0,1.0066964285714286,17
16,78561,Saint-Lambert,2016,453.0,1.0044345898004434,18
17,78561,Saint-Lambert,2017,452.0,0.9977924944812362,19
18,91338,Limours,1962,1965.0,1.1613475177304964,2
19,91338,Limours,1968,2264.0,1.1521628498727736,3
20,91338,Limours,1975,4201.0,1.855565371024735,4
21,91338,Limours,1982,4774.0,1.1363960961675792,5
22,91338,Limours,1990,6324.0,1.3246753246753247,6
23,91338,Limours,1999,6471.0,1.0232447817836812,7
24,91338,Limours,2006,6283.0,0.9709473033534229,8
25,91338,Limours,2007,6343.98,1.0097055546713354,9
26,91338,Limours,2008,6400.0,1.0088304187592017,10
27,91338,Limours,2009,6456.0,1.00875,11
28,91338,Limours,2010,6459.0,1.0004646840148699,12
29,91338,Limours,2011,6478.0,1.002941631831553,13
30,91338,Limours,2012,6560.0,1.0126582278481013,14
31,91338,Limours,2013,6622.0,1.0094512195121952,15
32,91338,Limours,2014,6683.0,1.0092117185140441,16
33,91338,Limours,2015,6700.0,1.0025437677689661,17
34,91338,Limours,2016,6695.0,0.9992537313432835,18
35,91338,Limours,2017,6625.0,0.9895444361463779,19
36,91122,Bures-sur-Yvette,1962,3682.0,1.9207094418362023,2
37,91122,Bures-sur-Yvette,1968,5733.0,1.5570342205323193,3
38,91122,Bures-sur-Yvette,1975,6870.0,1.1983254840397697,4
39,91122,Bures-sur-Yvette,1982,7764.0,1.1301310043668122,5
40,91122,Bures-sur-Yvette,1990,9227.0,1.1884337970118495,6
41,91122,Bures-sur-Yvette,1999,9677.0,1.048769914381706,7
42,91122,Bures-sur-Yvette,2006,9713.0,1.0037201612069857,8
43,91122,Bures-sur-Yvette,2007,9773.0,1.0061772881704931,9
44,91122,Bures-sur-Yvette,2008,9691.0,0.9916095364780517,10
45,91122,Bures-sur-Yvette,2009,9613.0,0.9919512950159942,11
46,91122,Bures-sur-Yvette,2010,9535.0,0.9918859877249558,12
47,91122,Bures-sur-Yvette,2011,9676.0,1.0147876245411642,13
48,91122,Bures-sur-Yvette,2012,9726.0,1.0051674245556015,14
49,91122,Bures-sur-Yvette,2013,9725.0,0.9998971828089657,15
50,91122,Bures-sur-Yvette,2014,9708.0,0.9982519280205655,16
51,91122,Bures-sur-Yvette,2015,9691.0,0.9982488669138855,17
52,91122,Bures-sur-Yvette,2016,9686.0,0.9994840573728201,18
53,91122,Bures-sur-Yvette,2017,9804.0,1.0121825314887467,19
54,78343,Les Loges-en-Josas,1962,596.0,1.2521008403361344,2
55,78343,Les Loges-en-Josas,1968,712.0,1.1946308724832215,3
56,78343,Les Loges-en-Josas,1975,1345.0,1.8890449438202248,4
57,78343,Les Loges-en-Josas,1982,1597.0,1.187360594795539,5
58,78343,Les Loges-en-Josas,1990,1506.0,0.9430181590482154,6
59,78343,Les Loges-en-Josas,1999,1448.0,0.9614873837981408,7
60,78343,Les Loges-en-Josas,2006,1453.0,1.0034530386740332,8
61,78343,Les Loges-en-Josas,2007,1464.02,1.0075843083275982,9
62,78343,Les Loges-en-Josas,2008,1493.0,1.0197948115462903,10
