CODGEO;LIBGEO;REG;DEP;P16_POP;P11_POP;SUPERF;NAIS1116;DECE1116;P16_MEN;NAISD18;DECESD18;P16_LOG;P16_RP;P16_RSECOCC;P16_LOGVAC;P16_RP_PROP;NBMENFISC16;PIMP16;MED16;TP6016;P16_EMPLT;P16_EMPLT_SAL;P11_EMPLT;P16_POP1564;P16_CHOM1564;P16_ACT1564;ETTOT15;ETAZ15;ETBE15;ETFZ15;ETGU15;ETGZ15;ETOQ15;ETTEF115;ETTEFP1015;Geo Shape;geo_point_2d
77006;Arbonne-la-Forêt;11;77;1011.0;1025.0;15.08;38.0;95.0;383.629595748;10.0;27.0;447.051348487;383.629595748;37.1470266041;26.2747261346;337.838264691;360.0;;26092.3333333;;234.014189373;178.87604963;226.61558511;614.550125641;40.7034053844;469.106747056;105.0;8.0;2.0;10.0;69.0;8.0;16.0;24.0;4.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.5470571781, 48.4014189913], [2.5469228281, 48.4016442964], [2.5435573093, 48.4041225876], [2.5337277804, 48.4112511304], [2.5239007512, 48.419897474], [2.517376143, 48.4274597549], [2.5173091943, 48.4276843973], [2.5192007735, 48.4276371987], [2.5330434173, 48.4269853567], [2.5392461885, 48.4250357566], [2.5460325208, 48.4263601256], [2.5463648565, 48.4273222311], [2.5486621375, 48.4277223434], [2.5506894615, 48.4277633256], [2.5658463391, 48.4278440478], [2.5732814159, 48.4244820165], [2.5832653745, 48.4201793546], [2.5950474601, 48.4183839544], [2.5937161159, 48.4147222771], [2.5913936765, 48.4092434367], [2.5901667324, 48.4066382636], [2.5862830564, 48.3994543981], [2.5841077553, 48.3962223532], [2.5813899773, 48.3922722012], [2.5780616058, 48.3878735597], [2.5749299056, 48.3847782575], [2.5723031085, 48.3859078095], [2.5705517303, 48.3866752059], [2.5561369108, 48.3932212793], [2.5471926795, 48.4013736253], [2.5470571781, 48.4014189913]]]}";48.4106943393,2.56109671365
77014;Avon;11;77;14001.0;14084.0;3.83;964.0;559.0;6689.61765099;169.0;138.0;7697.26808379;6689.61765099;193.33740296;814.313029837;3664.95864942;6434.0;62.0;22116.5;14.0;3840.50487988;3394.47023792;3834.03219537;8715.79949234;829.466305786;6538.33155065;1075.0;3.0;34.0;121.0;735.0;140.0;182.0;220.0;59.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.735106675, 48.4240477596], [2.7349860645, 48.4238414704], [2.7350143632, 48.4230543397], [2.7356374565, 48.4214453547], [2.7362844217, 48.4201890813], [2.7368818895, 48.4212546963], [2.739288316, 48.423863598], [2.7404414765, 48.4249205156], [2.7426203847, 48.4257538389], [2.744552313, 48.4251309594], [2.7459321466, 48.425183403], [2.745964561, 48.4235110247], [2.7460276952, 48.4219142808], [2.7462122284, 48.4209268588], [2.7469260608, 48.4172380084], [2.7474539553, 48.4156629389], [2.7481211376, 48.4146261552], [2.7492601521, 48.4135435833], [2.7508043278, 48.4125041355], [2.752284581, 48.411825296], [2.754294228, 48.4114984022], [2.7533495048, 48.4097978867], [2.7525379873, 48.4096666454], [2.749143804, 48.4073401918], [2.7482030084, 48.4079733584], [2.7456504943, 48.4096457771], [2.7428360037, 48.4123521779], [2.7394484279, 48.4109251243], [2.7368049319, 48.4096318754], [2.7352442509, 48.4069339186], [2.7331303684, 48.4075751375], [2.7310423612, 48.4081668959], [2.7282576969, 48.4060184539], [2.728253731, 48.4054786473], [2.7292218593, 48.4037742006], [2.726604195, 48.4015280296], [2.7244542402, 48.3987610772], [2.7234774991, 48.3987516061], [2.722584146, 48.3988133959], [2.720133409, 48.4000779669], [2.7185129836, 48.4029485636], [2.7173089878, 48.4049843386], [2.7179232572, 48.4053330713], [2.719785966, 48.4062038625], [2.7213111647, 48.4070297477], [2.7209774801, 48.4075255764], [2.7181028794, 48.4111453099], [2.7152632608, 48.4127246253], [2.713566059, 48.4131955583], [2.7129288084, 48.4135790713], [2.7150326152, 48.4148868481], [2.7168530087, 48.415387818], [2.7187755137, 48.4155021496], [2.7222747278, 48.4167249294], [2.7239727037, 48.417142734], [2.725683738, 48.4176532088], [2.7269918741, 48.4181978186], [2.7285587796, 48.4199350465], [2.732335431, 48.4233128229], [2.7348955984, 48.4240904713], [2.735106675, 48.4240477596]]]}";48.4131864594,2.73287159417
77018;Bailly-Romainvilliers;11;77;7564.0;6884.0;8.01;574.0;52.0;2774.0;64.0;13.0;3171.0;2774.0;242.0;155.0;1595.0;2471.0;69.0;24604.0;8.0;1976.08857054;1704.20497234;1699.43650192;5298.0;374.0;4294.0;580.0;1.0;19.0;49.0;427.0;84.0;84.0;106.0;40.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.8023543108, 48.8296124235], [2.8023561828, 48.829837263], [2.8014911039, 48.8320068478], [2.7974617703, 48.8382685004], [2.7962479038, 48.846274122], [2.7978314773, 48.855352832], [2.7980379366, 48.8555321462], [2.7983842276, 48.8562045255], [2.7985886616, 48.8562039705], [2.8042769147, 48.8559490082], [2.8102310227, 48.8549036912], [2.8135652693, 48.8554620171], [2.8252396086, 48.8586866212], [2.8302971679, 48.8600410827], [2.8323999301, 48.8597148948], [2.8345081605, 48.8593751877], [2.8338457853, 48.8580855427], [2.832602249, 48.8569830393], [2.8310824977, 48.8557587235], [2.8297087344, 48.8545058164], [2.8275881457, 48.8503928581], [2.8305004223, 48.8495147781], [2.8322269633, 48.8490927283], [2.8334621115, 48.8489208834], [2.8323186923, 48.8476890034], [2.8310619705, 48.8465369916], [2.8295993093, 48.8454593168], [2.8249071156, 48.8424442716], [2.8234426547, 48.8415670664], [2.8326264449, 48.8409651227], [2.8392231438, 48.8419868217], [2.840225082, 48.8364914178], [2.8411516119, 48.8337685508], [2.8411484843, 48.8334537772], [2.8408719468, 48.8330055375], [2.8370293678, 48.8298310783], [2.8368920659, 48.8297418561], [2.8297500672, 48.8301761789], [2.8213003435, 48.8301791412], [2.8135583991, 48.8326243302], [2.8037825783, 48.8294268121], [2.8030314925, 48.8292052378], [2.8023543108, 48.8296124235]]]}";48.8432045392,2.81684824402
77024;Bassevelle;11;77;352.0;349.0;17.46;14.0;14.0;136.318302387;2.0;3.0;153.226579792;136.318302387;8.45413870246;8.45413870246;107.374005305;128.0;;22022.2222222;;34.2966047989;14.3897878036;47.6835171146;236.222811671;15.8726790451;175.533156499;40.0;14.0;0.0;7.0;16.0;8.0;3.0;14.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[3.2396025209, 48.9090774108], [3.2396181072, 48.9092032791], [3.2397581272, 48.9093909488], [3.24074391, 48.910443829], [3.2409931225, 48.9106402704], [3.2454402222, 48.9131294415], [3.2495591402, 48.9150957473], [3.251348474, 48.918322207], [3.2522816755, 48.9213930639], [3.2528804148, 48.92441695], [3.2524995184, 48.9252288944], [3.2522413412, 48.926021694], [3.2523286699, 48.9271446961], [3.2523926083, 48.9276652373], [3.2545459874, 48.9329240813], [3.2552725393, 48.9346805936], [3.2560723352, 48.9363326281], [3.2575480785, 48.9391297588], [3.2580084713, 48.939754652], [3.258538409, 48.9403623072], [3.2604759307, 48.9396369082], [3.2610454264, 48.9394171496], [3.2627034623, 48.9390448314], [3.2640668656, 48.9389887793], [3.265159275, 48.9390610061], [3.2678473977, 48.9383302268], [3.2737719569, 48.9389076542], [3.2783920367, 48.9395579677], [3.2845265118, 48.9405309485], [3.2956885043, 48.9447870921], [3.3035279108, 48.9481298083], [3.3047535825, 48.9487669663], [3.3052839042, 48.9479356073], [3.3091085209, 48.9415779638], [3.3110338617, 48.9380119158], [3.3122790093, 48.9353234813], [3.312723157, 48.9342773788], [3.3128748033, 48.9336196207], [3.3130362768, 48.9291516426], [3.3128831721, 48.9261601721], [3.3129956468, 48.921944088], [3.3130772332, 48.9212154623], [3.3085244481, 48.9160645228], [3.3059339035, 48.9117483232], [3.3036993742, 48.9080516567], [3.300185536, 48.9026890693], [3.2997993215, 48.9024220482], [3.2992616063, 48.9021392173], [3.2951212389, 48.9001503672], [3.2939144317, 48.900456396], [3.2938191581, 48.9004935007], [3.2932128948, 48.9008663937], [3.2912486106, 48.9023208423], [3.290201748, 48.9031911975], [3.2888199796, 48.9036972398], [3.2870655164, 48.9039091931], [3.2844337256, 48.9038399314], [3.2826213079, 48.9031805468], [3.2820850375, 48.9028967365], [3.2819236898, 48.9030778734], [3.281161023, 48.9038116868], [3.2799622138, 48.9046211559], [3.2768195941, 48.9064890836], [3.2751158668, 48.9072933726], [3.2723497127, 48.9081684026], [3.2643609585, 48.9074129151], [3.2551527082, 48.9063519432], [3.2540597377, 48.9054621753], [3.2523999294, 48.9041356401], [3.2520470657, 48.9042281104], [3.2484501178, 48.9051457029], [3.2409677109, 48.9083930162], [3.2396025209, 48.9090774108]]]}";48.923105797,3.28191305187
77038;Boissettes;11;77;406.0;463.0;1.54;14.0;20.0;160.0;5.0;2.0;196.0;160.0;15.0;21.0;130.800071753;153.0;;29417.5;;76.0260091338;72.1128552011;108.700631761;212.389660067;12.6590342898;151.50307063;31.0;0.0;3.0;6.0;18.0;3.0;4.0;5.0;2.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.6007365001, 48.5158282569], [2.6007533811, 48.5185918569], [2.600781968, 48.521063124], [2.6018864719, 48.5239850889], [2.6086772385, 48.5233716308], [2.6117853795, 48.5240825995], [2.6124894706, 48.5250159673], [2.6120517548, 48.5278005503], [2.6118688899, 48.5283531966], [2.6099427341, 48.529660282], [2.6088349264, 48.5307370392], [2.6107560964, 48.5299283244], [2.6146697491, 48.5277973703], [2.6161001476, 48.5270301561], [2.6171847042, 48.5272522522], [2.6213862839, 48.5283209179], [2.6252483976, 48.5293451841], [2.628774922, 48.5307299072], [2.6311315369, 48.5284325175], [2.6317362729, 48.5277561079], [2.6318702595, 48.5275766066], [2.6307844207, 48.5269498288], [2.6286129014, 48.5258761594], [2.6159130906, 48.5198391642], [2.6110977298, 48.5176474], [2.6081152268, 48.5166651464], [2.6054737232, 48.5160869662], [2.6035106505, 48.5158672304], [2.6007365001, 48.5158282569]]]}";48.5231324977,2.61435145217
77040;Boissise-le-Roi;11;77;3782.0;3616.0;7.09;165.0;170.0;1401.55720541;23.0;45.0;1471.95194837;1401.55720541;18.7125266105;51.6822163529;1157.0519703;1336.0;77.0;27598.3333333;;648.800184452;555.874826152;528.597996224;2148.67554202;135.017513802;1650.22540347;224.0;3.0;7.0;35.0;152.0;43.0;27.0;37.0;10.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.5588041663, 48.4905630657], [2.5593526943, 48.4924497881], [2.5598306758, 48.4933925528], [2.5607879561, 48.4957737635], [2.561066945, 48.4980202155], [2.5611464352, 48.5004926266], [2.5609546617, 48.5031898312], [2.554413297, 48.5078317168], [2.5511702657, 48.5090060848], [2.5509273598, 48.5090717376], [2.5511334556, 48.5096689507], [2.5553879017, 48.5144015332], [2.5558940195, 48.5145950393], [2.5600156963, 48.5139446688], [2.5620772323, 48.5135312722], [2.5674838592, 48.5141717922], [2.572324273, 48.5196732268], [2.5634539681, 48.5230018484], [2.5561200793, 48.5278846383], [2.5567387819, 48.5299964741], [2.5572974142, 48.5312075965], [2.5581959563, 48.5327510249], [2.5542435755, 48.5340235742], [2.5488595778, 48.5350989572], [2.5486572902, 48.5357818711], [2.5488476678, 48.5367982199], [2.548985648, 48.5372926127], [2.5512186465, 48.5370635728], [2.5554796118, 48.5363365262], [2.5598080368, 48.5357885931], [2.5608914778, 48.5356522648], [2.5631908698, 48.5352433294], [2.5721258645, 48.5327084163], [2.5737478928, 48.5321214184], [2.5801625904, 48.5289165414], [2.5814445405, 48.5281501183], [2.5828581349, 48.5266635754], [2.5853813203, 48.5233997079], [2.5872308721, 48.521206652], [2.5878370844, 48.5205763445], [2.586750626, 48.5197692386], [2.5858544322, 48.5190509452], [2.5848071163, 48.5179255015], [2.5858648909, 48.5173831398], [2.5861808447, 48.5166393782], [2.5860410794, 48.5154757183], [2.5857105507, 48.514807968], [2.5829427079, 48.5156870857], [2.5801504084, 48.5147038943], [2.578043266, 48.5125508982], [2.5764582373, 48.5104806863], [2.5763619008, 48.5091651312], [2.5761666611, 48.5061831634], [2.5778579212, 48.5017631434], [2.583103813, 48.4954142599], [2.5812583155, 48.4927809127], [2.5797905445, 48.4920137605], [2.5777501279, 48.4929529151], [2.5718676146, 48.4913395504], [2.5627003774, 48.4907528967], [2.5588041663, 48.4905630657]]]}";48.5134326179,2.56939739997
77056;Burcy;11;77;160.0;152.0;7.03;7.0;7.0;73.0201342282;2.0;1.0;95.5016157097;73.0201342282;16.6529492455;5.82853223594;62.2818791946;68.0;;19539.0;;16.0773258659;10.8340293715;8.49817283951;111.677852349;6.44295302013;93.4228187919;11.0;5.0;0.0;1.0;3.0;0.0;2.0;3.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.5422894577, 48.2231911856], [2.5428230229, 48.222531004], [2.5410199345, 48.2217672884], [2.5399094233, 48.2226528648], [2.539572394, 48.2226983412], [2.5395054545, 48.2226539906], [2.5188215236, 48.2143708271], [2.5174092117, 48.2143731649], [2.5165298498, 48.2143965637], [2.5141133765, 48.2143776524], [2.5143211489, 48.2160854255], [2.5141952305, 48.2186484314], [2.5133400874, 48.2243595113], [2.5096448001, 48.2259836581], [2.5077159446, 48.2328203454], [2.5074509963, 48.2340789447], [2.5061863935, 48.238532109], [2.5078774618, 48.2399050343], [2.5098505016, 48.2415292428], [2.5142245981, 48.2433936512], [2.5230527896, 48.2465716297], [2.5325558152, 48.2498829748], [2.5344729565, 48.2509468755], [2.5368611905, 48.249156704], [2.5380698408, 48.2482103691], [2.5411962114, 48.2457832475], [2.5467304214, 48.24262028], [2.5423966722, 48.2395524266], [2.5384862932, 48.2361828324], [2.5322051384, 48.2317023997], [2.5314632577, 48.2310750083], [2.5297077178, 48.2293440407], [2.5312508505, 48.2281525518], [2.5335516273, 48.2277729462], [2.5358257213, 48.2282794838], [2.5364414174, 48.2288622645], [2.5422894577, 48.2231911856]]]}";48.2331255017,2.5248255466
77071;Chaintreaux;11;77;915.0;917.0;23.92;45.0;28.0;343.999999938;3.0;8.0;424.999999938;343.999999938;49.0;32.0;312.017461911;341.0;;23250.2857143;;129.880849925;80.973400338;127.502003635;581.145029359;50.7342592491;458.460973329;89.0;23.0;2.0;10.0;47.0;9.0;7.0;16.0;1.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.8621256434, 48.2175187826], [2.8624633534, 48.2176073548], [2.8631180947, 48.2158958292], [2.8633093803, 48.214815411], [2.8633094968, 48.2147704219], [2.8628360562, 48.2145935156], [2.8614173432, 48.2139701093], [2.859792529, 48.2128983484], [2.858911295, 48.21218287], [2.8567407453, 48.2103491934], [2.8560591994, 48.2094980664], [2.8551621991, 48.2072088096], [2.8498233789, 48.1977912227], [2.8454772735, 48.1863896726], [2.8426057157, 48.1791937464], [2.840791477, 48.1744961171], [2.83858128, 48.1683006153], [2.8378882914, 48.1661905023], [2.8377529899, 48.1660112533], [2.836786253, 48.1658929446], [2.8278683738, 48.1655140518], [2.8126450951, 48.1617098402], [2.8103101281, 48.1609943545], [2.809945896, 48.1612997067], [2.804267694, 48.164885196], [2.7989459319, 48.1682730532], [2.7952598612, 48.1690774496], [2.7941549514, 48.1688721701], [2.7935721506, 48.1675862175], [2.7891420717, 48.1667352603], [2.7837241108, 48.1667236578], [2.7809734452, 48.1673637534], [2.7811099026, 48.1675430697], [2.7826009222, 48.1690215212], [2.7850295727, 48.1701804301], [2.7854080678, 48.1713814693], [2.7862500089, 48.1750767227], [2.786307111, 48.1819108693], [2.7893548906, 48.1889231183], [2.7937630514, 48.192762249], [2.7910498812, 48.1978980234], [2.788038199, 48.1998101211], [2.7858647435, 48.2010830092], [2.7783651795, 48.2052181211], [2.7750458804, 48.2061413314], [2.7707018575, 48.2071137514], [2.7700092369, 48.2069693382], [2.7675518669, 48.2107994328], [2.7692069336, 48.2118995196], [2.783669955, 48.2167317453], [2.7950918235, 48.2217548967], [2.7951591475, 48.2217550134], [2.7958302304, 48.2216176086], [2.7979529735, 48.2210876871], [2.798228817, 48.220431318], [2.7983682642, 48.2156510081], [2.8077611938, 48.2091171188], [2.8084302075, 48.208754691], [2.8144606592, 48.2061675242], [2.8222982125, 48.2027855626], [2.8255231986, 48.2023899628], [2.8258594044, 48.2024786386], [2.8305939527, 48.2052019934], [2.8360068091, 48.2081285486], [2.8415622974, 48.2103802003], [2.8461260972, 48.2116990211], [2.8530210665, 48.2137836046], [2.8609749086, 48.216848896], [2.8621256434, 48.2175187826]]]}";48.1907010854,2.81432603936
77073;Chalautre-la-Petite;11;77;582.0;579.0;9.37;27.0;18.0;238.090909091;3.0;5.0;272.222183222;238.090909091;17.0656370656;17.0656370656;212.653846154;232.0;;24364.8148148;;60.8491333798;42.5429859506;68.0990827652;350.013986014;18.3146853147;276.755244755;38.0;3.0;1.0;6.0;20.0;1.0;8.0;14.0;0.0;"{""type"": ""Polygon"", ""coordinates"": [[[3.3178012075, 48.5477525724], [3.3196095623, 48.54813274], [3.3232637935, 48.5488128294], [3.3252206235, 48.5434109962], [3.3264258984, 48.5392031045], [3.3303896093, 48.5329707051], [3.333887126, 48.5279017078], [3.3364438271, 48.5253181], [3.3400218954, 48.5217725573], [3.3413037895, 48.5173204299], [3.3400506229, 48.5119993513], [3.340036559, 48.5119184283], [3.3394835284, 48.5120315587], [3.3385919623, 48.5121375551], [3.3377341748, 48.5118125447], [3.3375846231, 48.5110851999], [3.3370847276, 48.5104065271], [3.3362779577, 48.5100084941], [3.3351202232, 48.5095601689], [3.3339771293, 48.5092818143], [3.3328779982, 48.5091022808], [3.3311460947, 48.5090540435], [3.327507651, 48.5091747766], [3.3263891212, 48.5093550737], [3.3257027826, 48.5095854533], [3.3252346777, 48.5098584122], [3.3132208403, 48.5135817036], [3.311094068, 48.5159217209], [3.3092643664, 48.5190714491], [3.3050434734, 48.5216182835], [3.3006066837, 48.5236644414], [3.2889195494, 48.523661037], [3.2840733445, 48.5232769015], [3.2809133609, 48.5221608343], [3.2802320889, 48.5218871704], [3.2794760857, 48.5215651009], [3.2772998084, 48.5202658034], [3.2755963369, 48.5192451402], [3.2727363421, 48.5181884292], [3.271215602, 48.518695676], [3.2715306745, 48.5188730742], [3.2747945912, 48.5205181072], [3.2852555766, 48.5280058572], [3.2861840188, 48.5281358637], [3.2862870272, 48.5281500089], [3.2888756814, 48.5289740567], [3.2891485349, 48.53080673], [3.2899178613, 48.5325239445], [3.2904369531, 48.5335616857], [3.2909863275, 48.5341945418], [3.293062532, 48.5348740175], [3.295675459, 48.5351203284], [3.2994813779, 48.5352988136], [3.3068143928, 48.536141908], [3.3104500853, 48.5384362745], [3.3089169285, 48.543312335], [3.3084913959, 48.5444396978], [3.313244718, 48.5452458778], [3.3152583326, 48.5457596065], [3.3166883203, 48.5476628859], [3.3178012075, 48.5477525724]]]}";48.5268839961,3.31601746082
77084;Changis-sur-Marne;11;77;1203.0;1084.0;6.98;73.0;25.0;427.763176045;12.0;2.0;483.520105683;427.763176045;24.2421433207;31.5147863169;378.615917521;448.0;;24324.1666667;;102.608421591;82.3177849906;128.127028055;788.438126488;51.8776617757;603.869832272;76.0;3.0;4.0;9.0;49.0;7.0;11.0;9.0;1.0;"{""type"": ""Polygon"", ""coordinates"": [[[3.0263918844, 48.9742121644], [3.0264972616, 48.9719200174], [3.026632417, 48.9717842044], [3.0292105811, 48.9706011217], [3.0335556743, 48.9688689718], [3.03690642, 48.9693877413], [3.0474386816, 48.9726572225], [3.0565162374, 48.974798838], [3.059255888, 48.9755456695], [3.0600531674, 48.9739590428], [3.0615080713, 48.9706257756], [3.0597174446, 48.9694675763], [3.0576641455, 48.9690756184], [3.051243109, 48.9660508281], [3.0463624661, 48.9620889979], [3.0419428056, 48.9598812049], [3.0372183191, 48.9586211358], [3.0340995295, 48.9588468724], [3.0319432702, 48.9587953105], [3.0287995248, 48.9584031402], [3.0286119086, 48.9574302102], [3.0273117881, 48.9571679359], [3.0169643674, 48.9545107962], [3.0114668802, 48.9536940383], [3.009194906, 48.9542661511], [3.0078296164, 48.9552976764], [3.0065517466, 48.9569802289], [3.0046580433, 48.9599684817], [3.0043508627, 48.9609018995], [3.0036148723, 48.9620295639], [3.0025360605, 48.9630691054], [3.0015200147, 48.9636590193], [3.0011799596, 48.9637507449], [3.0002977239, 48.9642048626], [2.999691347, 48.9647929602], [2.999160063, 48.9659277874], [2.9987803304, 48.9682217191], [2.9987953272, 48.9693898167], [2.9993047527, 48.9719031593], [2.9998661379, 48.9731135182], [3.0012485003, 48.9744092937], [3.0033986498, 48.9760368453], [3.0054655856, 48.9774863141], [3.006289365, 48.9778855277], [3.0076595739, 48.9781929814], [3.0086827618, 48.9781866172], [3.0094299462, 48.9778682368], [3.0125538504, 48.9766827771], [3.0156789778, 48.9754963354], [3.0187384932, 48.9745795882], [3.0212571313, 48.9740261457], [3.0223607694, 48.9738847669], [3.0246132705, 48.9739535661], [3.0259123859, 48.9741250443], [3.0260503931, 48.9742140375], [3.0263918844, 48.9742121644]]]}";48.9661810167,3.0243420525
