from_stop_id,to_stop_id,transfer_type,min_transfer_time
2388,7376140,2,321
1706,3672261,2,316
2482,7946146,2,240
1809,3757203,2,225
2482,7946145,2,254
2388,7376141,2,274
1809,3757202,2,225
2187,1997,2,155
1960,3781677,2,214
48432,3672223,2,270
2077,8357918,2,281
2059,3764027,2,209
48432,7899213,2,270
1999,4035764,2,212
1999,4035763,2,195
1912,7275197,2,221
2482,7945883,2,225
1912,7275198,2,221
1697,5747133,2,230
2126,1957,2,196
1697,5747132,2,230
4314770,2348,2,204
2126,2213,2,137
2126,2212,2,151
2126,1958,2,97
2077,2213,2,134
48431,7899391,2,270
2077,2212,2,151
2195,3763991,2,270
2333,3887768,2,252
2059,3763986,2,202
2187,1996,2,144
2333,3887769,2,230
1672,1729,2,330
2320,6041756,2,298
1672,4037041,2,276
2097,3755017,2,268
2320,6041755,2,298
2108,7275182,2,202
1918,5355369,2,261
1918,5355368,2,314
1998,7945926,2,321
2077,3749738,2,281
1998,7945927,2,270
2482,8321649,2,205
2450,5976749,2,262
2187,7275163,2,257
2187,7275162,2,321
5122193,2095,2,191
2045,3764140,2,187
2450,5976748,2,259
2474,3682059,2,189
48432,3672158,2,270
1672,3893394,2,276
1672,3893395,2,261
48431,7899262,2,270
2243,4000533,2,314
2006,4834621,2,270
2243,4000534,2,244
1778,3763995,2,274
1706,3672286,2,316
1778,3763996,2,321
1650,7945924,2,248
1968,2155,2,360
1706,4146117,2,316
1672,2167,2,300
2215,3781629,2,208
2450,5976750,2,283
5122192,2045,2,195
1777,7899254,2,227
2126,2235,2,360
1777,7899255,2,257
1853,5244886,2,298
1998,4378088,2,319
6673111,2333,2,201
1809,6251680,2,207
1998,7921367,2,269
2187,7275437,2,330
2231,5244885,2,288
6673107,1672,2,276
2187,7275438,2,321
2126,7920890,2,217
1866,7275158,2,253
2246,3926330,2,225
1942,5161434,2,193
1778,3764100,2,274
2054,4035698,2,228
1866,7275157,2,201
6673106,2333,2,232
6673105,1650,2,234
2237,7275198,2,221
2246,3926329,2,206
2237,7275197,2,221
2530,7931538,2,197
1942,5161433,2,213
1705,4834560,2,223
1809,6251679,2,207
1705,5121833,2,250
1705,5121832,2,271
1705,5121831,2,259
2045,8290122,2,234
2045,8290121,2,189
1705,4834561,2,211
1960,3754320,2,232
1705,4834624,2,223
1705,4834625,2,211
2530,7275160,2,248
2482,7921101,2,275
2126,1910,2,360
1918,5761290,2,241
1918,5761291,2,261
1866,3812968,2,213
1866,3812969,2,215
1866,3812970,2,226
1968,2036,2,360
2197,5370693,2,213
4314770,1809,2,204
48431,7899356,2,270
2059,7275202,2,209
1976,3813523,2,243
1942,5370693,2,213
1866,7945922,2,253
2482,6591520,2,225
1866,7945921,2,201
2187,5138192,2,339
1998,5138194,2,257
6673083,1673,2,191
1998,5138195,2,300
6673111,1866,2,201
2187,5138194,2,257
1998,5138192,2,339
2056,4889526,2,252
2187,5138193,2,330
1998,5138193,2,330
1918,4000534,2,244
1918,4000533,2,314
2187,7946400,2,269
2187,5138195,2,300
2056,4889527,2,252
48431,7899213,2,270
1998,7921308,2,319
2223,2322,2,120
2077,5018143,2,282
2077,8357852,2,217
1998,7921309,2,294
7627517,2006,2,216
2047,8219613,2,227
1921,3926330,2,225
2047,8219612,2,207
2077,3749677,2,217
1777,7899386,2,227
3741081,1918,2,241
48432,3672259,2,270
1650,7931885,2,210
1650,7931883,2,278
1968,1166835,2,360
6748597,2243,2,244
2108,3763986,2,202
1672,7945919,2,215
2077,7920890,2,217
1968,1166834,2,360
2197,3909012,2,213
1921,3926329,2,206
2348,3757202,2,225
2348,3757203,2,225
2237,5121048,2,287
1923,4238700,2,242
2530,7275458,2,248
2237,5121049,2,287
1912,3730042,2,204
2126,7899131,2,235
2126,7899133,2,274
1912,3730041,2,221
2195,5688790,2,216
1998,7921310,2,316
48432,3672284,2,270
2530,7931885,2,210
2530,7931883,2,278
2006,7376198,2,270
3741082,1918,2,244
1866,3893356,2,208
1866,3893357,2,219
4473143,2187,2,321
1664,3682059,2,189
2195,7275465,2,270
2077,2235,2,360
2530,7931916,2,197
2530,7275441,2,234
2320,5244886,2,298
6673103,1998,2,330
4473136,2386,2,320
1976,3813522,2,225
2077,7899133,2,274
2077,7899131,2,235
2195,5688789,2,216
4473140,2348,2,225
48431,3672284,2,270
5122175,1705,2,265
2333,3893357,2,219
2333,3893356,2,208
4314769,1809,2,204
1650,7945878,2,234
1998,7946400,2,269
1672,6591460,2,261
2095,8290122,2,234
2095,8290121,2,189
2482,7932208,2,240
2482,7932207,2,254
2223,1166835,2,360
1941,5244885,2,288
2223,1166834,2,360
1672,7964952,2,261
6673097,2386,2,320
2045,22790,2,150
2248,4238699,2,242
2333,3813043,2,232
2195,5067480,2,215
2482,7945919,2,275
2195,5067481,2,215
2126,5018143,2,282
2006,3763991,2,270
5122192,2095,2,195
1672,7964969,2,153
2045,3730668,2,221
2126,3749738,2,281
2223,1967,2,120
2387,3678787,2,257
2223,1966,2,540
7981185,2248,2,225
7653670,1866,2,230
2223,1965,2,480
2103,7985473,2,285
2103,7985472,2,204
2387,3678786,2,227
2187,4378088,2,319
2045,3730667,2,234
2248,4238788,2,293
7627517,2195,2,216
1672,1977,2,300
7981185,1923,2,225
2188,4035763,2,195
1853,5244905,2,298
4473138,2385,2,388
1809,5121931,2,234
1778,7376140,2,321
1778,7376141,2,274
1809,5121930,2,234
2077,1910,2,360
2105,4889488,2,252
2105,4889489,2,252
1672,2472,2,180
2348,6041793,2,251
2097,4458777,2,207
2045,5231725,2,185
2006,5688790,2,216
2348,6041794,2,234
2126,7899176,2,217
2077,7946090,2,217
2045,5231724,2,195
7653669,1866,2,252
2188,4035764,2,212
2530,7275208,2,226
1672,7922564,2,277
6673087,2127,2,217
2473,5747133,2,230
2097,4255013,2,204
4473143,1998,2,321
2473,5747132,2,230
2333,7921056,2,219
2045,22789,2,150
2077,7946134,2,282
1960,3781629,2,208
2237,3730042,2,204
2237,3730041,2,221
2482,4037041,2,276
2231,5244904,2,288
4473139,1775,2,353
2482,3893353,2,277
2097,8219612,2,207
2482,7946195,2,240
2482,7946194,2,254
4473144,2530,2,234
1672,7921058,2,225
2097,8219613,2,227
2482,7931806,2,205
2450,5161445,2,192
2054,6673035,2,228
2450,5161446,2,192
2054,6673036,2,285
2006,5688789,2,216
2333,7945881,2,232
2333,7945880,2,236
2187,7945876,2,330
2077,7991820,2,281
7653670,2333,2,230
2126,3749677,2,217
2451,3678810,2,288
2059,7275182,2,202
6673108,1672,2,215
1672,8451936,2,240
1672,6591520,2,225
1672,7945883,2,225
2103,7985568,2,223
2103,7985569,2,204
2103,7985566,2,273
1672,8451935,2,254
2103,7985567,2,285
1706,3672225,2,316
2348,3764102,2,234
2348,3764103,2,234
1998,7946367,2,294
1960,3970592,2,232
