,insee,TauxProprietaires,TauxChomage,NiveauVieMedian
29274,75056,33.0976286,12.07012766,26808
29983,77001,89.80477223,7.37704918,28596
29984,77002,82.44514107,8.505154639,22877
29985,77003,83.44827586,5.238095238,25606
29986,77004,90.08264463,4.794520548,26871
29987,77005,78.76106195,7.572254335,26606
29988,77006,88.02083333,8.742004264,26092
29989,77007,94.48275862,5,26387
29990,77008,74.31693989,17.75147929,20220
29991,77009,83.92857143,6.557377049,23276
29992,77010,82.74853801,6.2,24513
29993,77011,86.5,12.09964413,23312
29994,77012,80,8.387096774,22286
29995,77013,83.09859155,5.789473684,26010
29996,77014,54.78325859,12.67971857,22117
29997,77015,83.33333333,6.25,
29998,77016,49.51048951,17.53325272,18757
29999,77018,57.49819755,8.709827667,24604
30000,77019,91.53846154,7.741935484,24289
30001,77020,87.04453441,10.6741573,23647
30002,77021,82.75862069,8,22236
30003,77022,79.52468007,12.1559633,32887
30004,77023,81.13207547,9.459459459,22607
30005,77024,78.67647059,9.090909091,22022
30006,77025,87.22222222,8.591885442,21617
30007,77026,79.31034483,11.2244898,20371
30008,77027,83.21342926,14.66666667,20783
30009,77029,75,9.821428571,23640
30010,77030,86.71096346,9.536082474,22011
30011,77031,85.97560976,8.133971292,25976
30012,77032,77.99442897,9.237875289,20560
30013,77033,83.52941176,8.59375,22937
30014,77034,81.69491525,5.898123324,26921
30015,77035,96.3800905,13.10344828,23391
30016,77036,85.45454545,8.108108108,24337
30017,77037,80.66898349,8.081167675,30698
30018,77038,81.875,8.552631579,29418
30019,77039,84.02061856,6.289308176,29583
30020,77040,82.52496434,8.181818182,27598
30021,77041,90.4,6.338028169,25934
30022,77042,89.64374482,10.60094531,23444
30023,77043,91.42857143,11.61616162,23721
30024,77044,89.70588235,5.707762557,24474
30025,77045,89.36170213,7.8125,22691
30026,77046,78.88198758,8.021390374,23491
30027,77047,77.14285714,8.792650919,24765
30028,77048,74.47183099,10.10770505,26910
30029,77049,86.20689655,8.565310493,28086
30030,77050,82.71028037,12.95546559,22210
30031,77051,44.30769231,14.75935829,19223
30032,77052,94.35483871,10.43956044,24753
30033,77053,55.96304977,8.848267354,23296
30034,77054,88.35616438,14.64019851,23299
30035,77055,50.47619048,11.4953271,21300
30036,77056,84.93150685,6.451612903,19539
30037,77057,76.79558011,14.8,20197
30038,77058,52.29645094,10.13316012,24017
30039,77059,84.58646617,11.23595506,29208
30040,77060,85.80246914,6.824925816,24020
30041,77061,76.54958678,8.404154863,22074
30042,77062,78.53403141,6.465517241,26661
30043,77063,88.11881188,9.116409537,24806
30044,77065,89.11111111,6.563039724,28944
30045,77066,80.48780488,14.54545455,22254
30046,77067,78.26418936,8.354987008,25427
30047,77068,92.15686275,11.45833333,24811
30048,77069,75.61576355,10.5156724,25458
30049,77070,79.6641791,10.0536193,23075
30050,77071,90.69767442,11.13537118,23250
30051,77072,83.95522388,9.253731343,20168
30052,77073,89.49579832,6.498194946,24365
30053,77075,79.79591837,11.68831169,26677
