,CODGEO,LIBGEO,TauxProprietaires,TauxChomage,NiveauVieMedian,MacronExpIns,MacronExpVote
0,75056,Paris,33.0976286,12.07012766,26808,"72,76","92,7"
1,77001,Achères-la-Forêt,89.80477223,7.37704918,28596,"69,53","88,89"
2,77002,Amillis,82.44514107,8.505154639,22877,"70,77","88,35"
3,77003,Amponville,83.44827586,5.238095238,25606,"72,4","88,14"
4,77004,Andrezel,90.08264463,4.794520548,26871,"74,8","94,92"
5,77005,Annet-sur-Marne,78.76106195,7.572254335,26606,"69,46","86,89"
6,77006,Arbonne-la-Forêt,88.02083333,8.742004264,26092,"64,47","87,04"
7,77007,Argentières,94.48275862,5,26387,"74,3","89,03"
8,77008,Armentières-en-Brie,74.31693989,17.75147929,20220,"60,7","89,22"
9,77009,Arville,83.92857143,6.557377049,23276,"77,67","93,02"
10,77010,Aubepierre-Ozouer-le-Repos,82.74853801,6.2,24513,"71,62","84,62"
11,77011,Aufferville,86.5,12.09964413,23312,"66,92","87,29"
12,77012,Augers-en-Brie,80,8.387096774,22286,"67,84","89,18"
13,77013,Aulnoy,83.09859155,5.789473684,26010,"62,01","81,97"
14,77014,Avon,54.78325859,12.67971857,22117,"66,8","89,25"
15,77015,Baby,83.33333333,6.25,,"70,97","81,48"
16,77016,Bagneaux-sur-Loing,49.51048951,17.53325272,18757,"63,68","86,82"
17,77018,Bailly-Romainvilliers,57.49819755,8.709827667,24604,"68,78","90,25"
18,77019,Balloy,91.53846154,7.741935484,24289,"72,92","86,63"
19,77020,Bannost-Villegagnon,87.04453441,10.6741573,23647,"76,01","91,13"
20,77021,Barbey,82.75862069,8,22236,"72,18","82,76"
21,77022,Barbizon,79.52468007,12.1559633,32887,"65,48","87,45"
22,77023,Barcy,81.13207547,9.459459459,22607,"67,26","83,33"
23,77024,Bassevelle,78.67647059,9.090909091,22022,"69,75","89,73"
24,77025,Bazoches-lès-Bray,87.22222222,8.591885442,21617,70,88
25,77026,Beauchery-Saint-Martin,79.31034483,11.2244898,20371,"71,38","86,03"
26,77027,Beaumont-du-Gâtinais,83.21342926,14.66666667,20783,"63,67","86,64"
27,77029,Beauvoir,75,9.821428571,23640,"74,03","87,02"
28,77030,Bellot,86.71096346,9.536082474,22011,"68,91","91,33"
29,77031,Bernay-Vilbert,85.97560976,8.133971292,25976,"70,89","86,17"
30,77032,Beton-Bazoches,77.99442897,9.237875289,20560,"61,85","85,6"
31,77033,Bezalles,83.52941176,8.59375,22937,"60,89","87,2"
32,77034,Blandy,81.69491525,5.898123324,26921,"72,84","89,21"
33,77034,Blandy,81.69491525,5.898123324,26921,"76,04","83,91"
34,77035,Blennes,96.3800905,13.10344828,23391,"71,36","86,31"
35,77036,Boisdon,85.45454545,8.108108108,24337,"69,9","84,71"
36,77037,Bois-le-Roi,80.66898349,8.081167675,30698,"69,12","89,3"
37,77038,Boissettes,81.875,8.552631579,29418,"72,7","89,45"
38,77039,Boissise-la-Bertrand,84.02061856,6.289308176,29583,"68,25","87,95"
