ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BL;NB_NUL;NB.EXPRIM;DUPONT-AIGNAN Nicolas;LE PEN Marine;MACRON Emmanuel;HAMON Benoît;ARTHAUD Nathalie;POUTOU Philippe;CHEMINADE Jacques;LASSALLE Jean;MÉLENCHON Jean-Luc;ASSELINEAU François;FILLON François;geo_shape;geo_point_2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-64;Présidentielle;2017;1;2007-04-23;13;57;15;64;70;1329;1148;1148;6;5;1137;27;77;388;98;1;7;3;4;147;7;378;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.2978494644", 48.8428947796], [2.2986767226, 48.8429240417], [2.2990037123, 48.8418720394], [2.2991208945, 48.8415430396], [2.2993800359, 48.8406677206], [2.2985340377, 48.840407459], [2.296624103, 48.8398495729], [2.2963922109, 48.8395926149], [2.2956002766, 48.8404279908], [2.2971997015, 48.8409746225], [2.2955934465, 48.8428181185], [2.2978494644," 48.8428947796]]]}"";48.8414692938",2.297561902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-66;Présidentielle;2017;1;2007-04-23;13;57;15;66;89;1525;1260;1258;9;7;1242;15;67;425;94;0;3;1;8;176;4;449;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.2920004856", 48.8412395754], [2.2940785658, 48.839913682], [2.2955547134, 48.8404215335], [2.296379387, 48.8395657202], [2.2958239195, 48.8392605905], [2.2948311779, 48.8386276485], [2.2947011911, 48.8385157199], [2.2945716378, 48.8380532152], [2.2920314443, 48.8392149426], [2.2910513104, 48.8407546685], [2.2920004856," 48.8412395754]]]}"";48.8396653813",2.293593622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-75;Présidentielle;2017;1;2007-04-23;13;58;15;75;62;1404;1164;1164;11;5;1148;39;70;398;76;1;3;1;11;138;10;401;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.2812592794", 48.8382891249], [2.2817699988, 48.8378950472], [2.2813998663, 48.837429279], [2.2817669567, 48.8373938246], [2.2816511005, 48.8361166577], [2.2812772359, 48.8359595657], [2.2809404865, 48.8353144435], [2.2822998302, 48.8349215718], [2.2838965319, 48.8343282213], [2.2804763663, 48.8319611769], [2.2790320368, 48.8324748083], [2.2780810758, 48.8333541908], [2.2770356463, 48.8337679268], [2.2772223227, 48.8341290933], [2.2765450917, 48.8347463559], [2.2776446576, 48.8372364075], [2.2789155333, 48.8370013784], [2.2812592794," 48.8382891249]]]}"";48.834935646",2.279854152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-78;Présidentielle;2017;1;2007-04-23;13;58;15;78;50;1044;869;869;11;1;857;18;56;302;75;1;5;2;2;176;5;215;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.2834221168", 48.8402247265], [2.2828670537, 48.8396885632], [2.2817043073, 48.839368747], [2.2803518442, 48.8388055784], [2.2784434247, 48.8385499696], [2.277597351, 48.8382796822], [2.2766353299, 48.8386706541], [2.2763979733, 48.8397271308], [2.2769469201, 48.8405027685], [2.2785477412, 48.8404256819], [2.2797714583, 48.8403046765], [2.2793254797, 48.8398464716], [2.2793201056, 48.8397438428], [2.2794785141, 48.8396869115], [2.2796912995, 48.8399112615], [2.2799820368, 48.839945613], [2.2802293671, 48.8401756798], [2.282601082, 48.8407013312], [2.2834221168," 48.8402247265]]]}"";48.8395906985",2.279388321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-93;Présidentielle;2017;1;2007-04-23;13;58;15;93;78;1427;1224;1224;12;5;1207;34;66;431;97;1;10;1;11;169;12;375;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.2858958124", 48.8466430803], [2.286932075, 48.84604176], [2.2894383947, 48.8450169475], [2.2886234267, 48.8446784704], [2.2876436543, 48.8445975882], [2.2872301343, 48.8442617689], [2.287033293, 48.8445471969], [2.2864273829, 48.8438676126], [2.2849548534, 48.8444829657], [2.2847207334, 48.8444387006], [2.2839836326, 48.8447306428], [2.2839049921, 48.8447658845], [2.2839903865, 48.8448646785], [2.28415205, 48.8447952675], [2.2850697338, 48.845217448], [2.2854368786, 48.8453210341], [2.2846653466, 48.8456067062], [2.285355645, 48.8464310622], [2.2856438768, 48.84639896], [2.2858958124," 48.8466430803]]]}"";48.845187964",2.286475875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-32;Présidentielle;2017;1;2007-04-23;14;63;16;32;76;1509;1277;1277;7;3;1267;20;71;413;72;3;3;1;6;108;9;561;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.2689595381", 48.8473278999], [2.2708250603, 48.8465541709], [2.2732095755, 48.8472835026], [2.2753190074, 48.8465964483], [2.2751815637, 48.8464547434], [2.2747655865, 48.8460257021], [2.2747655525, 48.846025667], [2.2730015609, 48.8442370354], [2.2715486867, 48.8447572012], [2.2697585743, 48.8430273448], [2.2693639994, 48.8431312494], [2.2687289484, 48.8427868237], [2.2674940477, 48.8440591211], [2.2659860423, 48.8443171024], [2.2689595381," 48.8473278999]]]}"";48.8453552272",2.270493109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-48;Présidentielle;2017;1;2007-04-23;14;63;16;48;55;1377;1190;1191;9;5;1177;22;52;401;38;0;5;0;6;65;4;584;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.2565409291", 48.8413262287], [2.2549314897, 48.8412607763], [2.2513510183, 48.8420824209], [2.2512753122, 48.8428796477], [2.2551842637, 48.8427394068], [2.2558779183, 48.842816767], [2.2561632892, 48.8425552967], [2.2565721681, 48.8425269644], [2.2573888269, 48.8431571846], [2.2576665099, 48.843051073], [2.2575428946, 48.842879265], [2.2577846417, 48.8427772167], [2.2588675245, 48.8435098261], [2.2593139734, 48.8432280146], [2.2577067883, 48.8410983703], [2.2579257579, 48.840576185], [2.2567231524, 48.8401222184], [2.2565409291," 48.8413262287]]]}"";48.8420528352",2.255597187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-59;Présidentielle;2017;1;2007-04-23;4;64;16;59;119;1442;1247;1247;1;5;1241;12;33;282;19;2;1;1;6;34;4;847;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.2801603346", 48.8666919643], [2.2789279856, 48.8670750193], [2.2770461646, 48.8677172022], [2.2757828175, 48.8682945209], [2.2777765078, 48.8711174994], [2.2793775957, 48.8706929091], [2.2810046041, 48.868835509], [2.2804681304, 48.868506587], [2.2810319036, 48.8678858515], [2.2806910393, 48.8673900898], [2.2801603346," 48.8666919643]]]}"";48.8688359497",2.27861944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-23;Présidentielle;2017;1;2007-04-23;3;68;17;23;29;1362;965;965;23;11;931;29;107;210;90;1;8;4;7;338;14;123;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3300870836", 48.9009967253], [2.3289331926, 48.8976046996], [2.3288597682, 48.8973756872], [2.3286827514, 48.8974105701], [2.3284326902, 48.8967851483], [2.3277749457, 48.8962818635], [2.3261759814, 48.8968021492], [2.3260091225, 48.8971698171], [2.327035819, 48.8973417205], [2.3265510539, 48.8976406366], [2.3264622073, 48.8987952222], [2.3239291766, 48.8987880998], [2.3235702751, 48.9008373293], [2.3300870836," 48.9009967253]]]}"";48.8992287969",2.327044992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-39;Présidentielle;2017;1;2007-04-23;4;67;17;39;25;1437;1121;1122;23;7;1092;44;135;251;95;5;12;2;14;308;16;210;""{""""type"""": """"Polygon"""""," """"coordinates"""": [[[2.3022615613", 48.8912435535], [2.2989006959, 48.8896948664], [2.2988658692, 48.8897412171], [2.2966670802, 48.8887391179], [2.2969547702, 48.8880863969], [2.2947534253, 48.8875687992], [2.2927327029, 48.8895753716], [2.2950633932, 48.8898434008], [2.2986094088, 48.8917041179], [2.3006067438, 48.8926295645], [2.3015896414, 48.8918942739], [2.3015230744, 48.8918466781], [2.3022615613," 48.8912435535]]]}"";48.8900629515",2.297520774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
