Région,Départements,Code commune (INSEE),Commune,nombre de redevables,patrimoine moyen en €,impôt moyen en €
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06 900,MONACO,581,"3,876,176","28,646"
ILE-DE-FRANCE,PARIS,75 107,VILLE DE PARIS,"3,913","3,086,756","15,498"
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 051,NEUILLY SUR SEINE,"3,387","2,835,535","13,717"
ILE-DE-FRANCE,PARIS,75 108,VILLE DE PARIS,"1,969","2,800,935","13,269"
ILE-DE-FRANCE,PARIS,75 104,VILLE DE PARIS,811,"2,696,138","12,967"
NOUVELLE-AQUITAINE,CORREZE,19 031,BRIVE,54,"2,635,572","12,944"
ILE-DE-FRANCE,PARIS,75 106,VILLE DE PARIS,"2,588","2,763,411","12,680"
ILE-DE-FRANCE,PARIS,75 101,VILLE DE PARIS,482,"2,692,823","12,570"
ILE-DE-FRANCE,PARIS,75 116,VILLE DE PARIS,"8,502","2,730,206","12,281"
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06 029,CANNES,617,"2,717,619","12,171"
LES-HAUTS-DE-FRANCE,OISE,60 057,BEAUVAIS,57,"2,911,724","12,123"
PAYS DE LA LOIRE,MAYENNE,53 130,LAVAL,63,"2,560,262","11,653"
ILE-DE-FRANCE,PARIS,75 103,VILLE DE PARIS,681,"2,524,441","11,380"
GRAND-EST,AUBE,10 387,TROYES,52,"2,344,257","11,001"
BRETAGNE,ILLE-ET-VILAINE,35 288,SAINT MALO,137,"2,310,414","10,849"
LES-HAUTS-DE-FRANCE,OISE,60 159,COMPIEGNE,94,"2,716,764","10,704"
GRAND-EST,HAUT-RHIN,68 066,COLMAR,76,"2,376,934","10,615"
ILE-DE-FRANCE,VAL-DE-MARNE,94 067,SAINT MANDE,409,"2,414,992","10,187"
ILE-DE-FRANCE,VAL-D'OISE,95 428,MONTMORENCY,117,"2,241,278","10,006"
CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28 085,CHARTRES,83,"2,262,141","9,972"
PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06 079,MANDELIEU LA NAPOULE,126,"2,306,393","9,953"
ILE-DE-FRANCE,PARIS,75 118,VILLE DE PARIS,720,"2,396,047","9,882"
LA REUNION,LA REUNION,97411,SAINT DENIS,280,"2,352,407","9,730"
NOUVELLE-AQUITAINE,GIRONDE,33 069,LE BOUSCAT,174,"2,310,613","9,593"
ILE-DE-FRANCE,PARIS,75 117,VILLE DE PARIS,"3,419","2,395,148","9,582"
CORSE,CORSE-DU-SUD,2A 004,AJACCIO,161,"2,274,409","9,562"
LA REUNION,LA REUNION,97416,SAINT PIERRE,99,"2,276,901","9,544"
AUVERGNE-RHONE-ALPES,DROME,26 362,VALENCE,55,"2,371,806","9,437"
LES-HAUTS-DE-FRANCE,SOMME,80 021,AMIENS,139,"2,238,634","9,379"
ILE-DE-FRANCE,HAUTS-DE-SEINE,92 049,MONTROUGE,158,"2,220,990","9,363"
GRAND-EST,HAUT-RHIN,68 224,MULHOUSE,76,"2,237,268","9,173"
ILE-DE-FRANCE,PARIS,75 114,VILLE DE PARIS,"1,655","2,294,997","9,173"
LES-HAUTS-DE-FRANCE,NORD,59 350,LILLE,280,"2,328,910","9,136"
PROVENCE-ALPES-COTE D'AZUR,VAR,83 118,SAINT-RAPHAEL,280,"2,189,364","9,119"
GRAND-EST,BAS-RHIN,67 482,STRASBOURG,614,"2,313,392","9,090"
