Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris
4,RER,CHATELET-LES HALLES-RER,33424797,A,B,,,,Paris,1
29,RER,LAPLACE,3676446,B,,,,,Arcueil,
44,RER,GENTILLY,2332897,B,,,,,Gentilly,
34,RER,LA CROIX DE BERNY,3288568,B,,,,,Antony,
56,RER,LE GUICHET,924106,B,,,,,Orsay,
55,RER,PALAISEAU-VILLEBON,941474,B,,,,,Palaiseau,
61,RER,FONTAINE-MICHALON,754778,B,,,,,Antony,
50,RER,LES BACONNETS,1888141,B,,,,,Antony,
42,RER,BAGNEUX,2388018,B,,,,,Cachan,
22,RER,DENFERT-ROCHEREAU-RER,4733142,B,,,,,Paris,14
66,RER,LA HACQUINIERE,460195,B,,,,,Bures sur Yvette,
54,RER,PALAISEAU,1061473,B,,,,,Palaiseau,
10,RER,CITE UNIVERSITAIRE,7338836,B,,,,,Paris,14
59,RER,GIF-SUR-YVETTE,769431,B,,,,,Gif sur Yvette,
53,RER,FONTENAY-AUX-ROSES,1183158,B,,,,,Fontenay aux roses,
63,RER,MASSY-VERRIERES,623769,B,,,,,Massy,
33,RER,PORT ROYAL,3489722,B,,,,,Paris,5
32,RER,ARCUEIL-CACHAN,3565431,B,,,,,Arcueil,
60,RER,SCEAUX,756148,B,,,,,sceaux,
57,RER,SAINT-REMY-LES-CHEVREUSE,915757,B,,,,,St-Rémy-Lès-Chevreuse,
47,RER,ROBINSON,2181910,B,,,,,Sceaux,
65,RER,COURCELLE-SUR-YVETTE,576015,B,,,,,Gif sur Yvette,
58,RER,LOZERE,828404,B,,,,,Palaiseau,
16,RER,LUXEMBOURG,6020838,B,,,,,Paris,5
23,RER,BOURG-LA-REINE,4595817,B,,,,,Bourg la Reine,
40,RER,ORSAY-VILLE,2605092,B,,,,,Orsay,
7,RER,MASSY-PALAISEAU,9496594,B,,,,,Massy,
64,RER,PARC DE SCEAUX,613248,B,,,,,Antony,
1,RER,GARE DU NORD-RER,42502942,B,,,,,Paris,10
62,RER,BURES-SUR-YVETTE,726989,B,,,,,Bures sur Yvette,
11,RER,SAINT-MICHEL-NOTRE-DAME,7247647,B,,,,,Paris,
14,RER,ANTONY,6365395,B,,,,,Antony,
