,Unnamed: 0,LIBELLE_ARRET,TRNC_HORR_60,pourc_validations,NB_VALD,NB_VALD_HOUR
0,0,AEROPORT CHARLES DE GAULLE 1,0H-1H,0.05,4751.359550561798,237.5679775280899
1,1,AEROPORT CHARLES DE GAULLE 1,10H-11H,3.66,4751.359550561798,17389.975955056183
2,2,AEROPORT CHARLES DE GAULLE 1,11H-12H,4.15,4751.359550561798,19718.14213483146
3,3,AEROPORT CHARLES DE GAULLE 1,12H-13H,5.25,4751.359550561798,24944.637640449437
4,4,AEROPORT CHARLES DE GAULLE 1,13H-14H,5.67,4751.359550561798,26940.208651685392
5,5,AEROPORT CHARLES DE GAULLE 1,14H-15H,8.44,4751.359550561798,40101.47460674157
6,6,AEROPORT CHARLES DE GAULLE 1,15H-16H,11.19,4751.359550561798,53167.713370786514
7,7,AEROPORT CHARLES DE GAULLE 1,16H-17H,11.35,4751.359550561798,53927.930898876395
8,8,AEROPORT CHARLES DE GAULLE 1,17H-18H,11.34,4751.359550561798,53880.41730337079
9,9,AEROPORT CHARLES DE GAULLE 1,18H-19H,8.79,4751.359550561798,41764.4504494382
10,10,AEROPORT CHARLES DE GAULLE 1,19H-20H,5.19,4751.359550561798,24659.55606741573
11,11,AEROPORT CHARLES DE GAULLE 1,1H-2H,0.01,4751.359550561798,47.51359550561798
12,12,AEROPORT CHARLES DE GAULLE 1,20H-21H,3.71,4751.359550561798,17627.543932584267
13,13,AEROPORT CHARLES DE GAULLE 1,21H-22H,1.95,4751.359550561798,9265.151123595506
14,14,AEROPORT CHARLES DE GAULLE 1,22H-23H,1.51,4751.359550561798,7174.552921348315
15,15,AEROPORT CHARLES DE GAULLE 1,23H-0H,1.03,4751.359550561798,4893.900337078651
16,16,AEROPORT CHARLES DE GAULLE 1,2H-3H,0.18,4751.359550561798,855.2447191011237
17,17,AEROPORT CHARLES DE GAULLE 1,3H-4H,0.55,4751.359550561798,2613.247752808989
18,18,AEROPORT CHARLES DE GAULLE 1,4H-5H,1.11,4751.359550561798,5274.009101123596
19,19,AEROPORT CHARLES DE GAULLE 1,5H-6H,2.12,4751.359550561798,10072.882247191012
20,20,AEROPORT CHARLES DE GAULLE 1,6H-7H,2.58,4751.359550561798,12258.507640449441
21,21,AEROPORT CHARLES DE GAULLE 1,7H-8H,3.28,4751.359550561798,15584.459325842696
22,22,AEROPORT CHARLES DE GAULLE 1,8H-9H,3.46,4751.359550561798,16439.704044943817
23,23,AEROPORT CHARLES DE GAULLE 1,9H-10H,3.43,4751.359550561798,16297.163258426965
24,24,AEROPORT CHARLES DE GAULLE 2-TGV,0H-1H,0.06,6158.989071038252,369.5393442622952
25,25,AEROPORT CHARLES DE GAULLE 2-TGV,10H-11H,4.79,6158.989071038252,29501.557650273222
26,26,AEROPORT CHARLES DE GAULLE 2-TGV,11H-12H,5.64,6158.989071038252,34736.69836065573
27,27,AEROPORT CHARLES DE GAULLE 2-TGV,12H-13H,6.6,6158.989071038252,40649.32786885246
28,28,AEROPORT CHARLES DE GAULLE 2-TGV,13H-14H,7.22,6158.989071038252,44467.90109289617
29,29,AEROPORT CHARLES DE GAULLE 2-TGV,14H-15H,7.58,6158.989071038252,46685.137158469945
30,30,AEROPORT CHARLES DE GAULLE 2-TGV,15H-16H,7.81,6158.989071038252,48101.70464480874
31,31,AEROPORT CHARLES DE GAULLE 2-TGV,16H-17H,7.0,6158.989071038252,43112.923497267766
32,32,AEROPORT CHARLES DE GAULLE 2-TGV,17H-18H,6.56,6158.989071038252,40402.96830601093
33,33,AEROPORT CHARLES DE GAULLE 2-TGV,18H-19H,6.88,6158.989071038252,42373.84480874317
34,34,AEROPORT CHARLES DE GAULLE 2-TGV,19H-20H,5.86,6158.989071038252,36091.67595628416
35,35,AEROPORT CHARLES DE GAULLE 2-TGV,1H-2H,0.01,6158.989071038252,61.58989071038252
36,36,AEROPORT CHARLES DE GAULLE 2-TGV,20H-21H,6.15,6158.989071038252,37877.78278688525
37,37,AEROPORT CHARLES DE GAULLE 2-TGV,21H-22H,3.93,6158.989071038252,24204.82704918033
38,38,AEROPORT CHARLES DE GAULLE 2-TGV,22H-23H,2.84,6158.989071038252,17491.528961748634
39,39,AEROPORT CHARLES DE GAULLE 2-TGV,23H-0H,1.61,6158.989071038252,9915.972404371585
40,40,AEROPORT CHARLES DE GAULLE 2-TGV,2H-3H,0.25,6158.989071038252,1539.7472677595626
41,41,AEROPORT CHARLES DE GAULLE 2-TGV,3H-4H,0.53,6158.989071038252,3264.264207650273
42,42,AEROPORT CHARLES DE GAULLE 2-TGV,4H-5H,1.18,6158.989071038252,7267.607103825137
43,43,AEROPORT CHARLES DE GAULLE 2-TGV,5H-6H,2.03,6158.989071038252,12502.747814207649
44,44,AEROPORT CHARLES DE GAULLE 2-TGV,6H-7H,3.01,6158.989071038252,18538.557103825136
45,45,AEROPORT CHARLES DE GAULLE 2-TGV,7H-8H,3.57,6158.989071038252,21987.59098360656
46,46,AEROPORT CHARLES DE GAULLE 2-TGV,8H-9H,4.15,6158.989071038252,25559.804644808744
47,47,AEROPORT CHARLES DE GAULLE 2-TGV,9H-10H,4.77,6158.989071038252,29378.377868852454
48,48,ANTONY,0H-1H,0.16,11292.179347826086,1806.7486956521734
49,49,ANTONY,10H-11H,3.46,11292.179347826086,39070.94054347826
50,50,ANTONY,11H-12H,3.25,11292.179347826086,36699.582880434784
51,51,ANTONY,12H-13H,4.42,11292.179347826086,49911.4327173913
52,52,ANTONY,13H-14H,3.65,11292.179347826086,41216.454619565215
53,53,ANTONY,14H-15H,3.23,11292.179347826086,36473.739293478255
54,54,ANTONY,15H-16H,4.03,11292.179347826086,45507.48277173913
55,55,ANTONY,16H-17H,6.46,11292.179347826086,72947.47858695651
56,56,ANTONY,17H-18H,9.31,11292.179347826086,105130.18972826088
57,57,ANTONY,18H-19H,6.76,11292.179347826086,76335.13239130435
58,58,ANTONY,19H-20H,4.51,11292.179347826086,50927.72885869566
59,59,ANTONY,1H-2H,0.04,11292.179347826086,451.68717391304347
60,60,ANTONY,20H-21H,2.51,11292.179347826086,28343.370163043477
61,61,ANTONY,21H-22H,1.17,11292.179347826086,13211.84983695652
62,62,ANTONY,22H-23H,0.98,11292.179347826086,11066.335760869562
63,63,ANTONY,23H-0H,0.62,11292.179347826086,7001.1511956521745
64,64,ANTONY,2H-3H,0.0,11292.179347826086,0.0
65,65,ANTONY,3H-4H,0.0,11292.179347826086,0.0
66,66,ANTONY,4H-5H,0.08,11292.179347826086,903.3743478260867
67,67,ANTONY,5H-6H,0.97,11292.179347826086,10953.413967391303
68,68,ANTONY,6H-7H,4.19,11292.179347826086,47314.231467391306
69,69,ANTONY,7H-8H,13.99,11292.179347826086,157977.58907608697
70,70,ANTONY,8H-9H,18.8,11292.179347826086,212292.9717391304
71,71,ANTONY,9H-10H,7.42,11292.179347826086,83787.97076086956
72,72,ARCUEIL-CACHAN,0H-1H,0.17,8561.91847826087,1455.5261413043481
73,73,ARCUEIL-CACHAN,10H-11H,3.74,8561.91847826087,32021.575108695655
74,74,ARCUEIL-CACHAN,11H-12H,3.68,8561.91847826087,31507.860000000004
75,75,ARCUEIL-CACHAN,12H-13H,4.57,8561.91847826087,39127.967445652175
76,76,ARCUEIL-CACHAN,13H-14H,3.63,8561.91847826087,31079.764076086958
77,77,ARCUEIL-CACHAN,14H-15H,3.28,8561.91847826087,28083.092608695653
78,78,ARCUEIL-CACHAN,15H-16H,4.23,8561.91847826087,36216.915163043486
79,79,ARCUEIL-CACHAN,16H-17H,7.12,8561.91847826087,60960.859565217404
80,80,ARCUEIL-CACHAN,17H-18H,10.53,8561.91847826087,90157.00157608696
81,81,ARCUEIL-CACHAN,18H-19H,9.12,8561.91847826087,78084.69652173913
82,82,ARCUEIL-CACHAN,19H-20H,4.88,8561.91847826087,41782.162173913035
83,83,ARCUEIL-CACHAN,1H-2H,0.03,8561.91847826087,256.85755434782607
84,84,ARCUEIL-CACHAN,20H-21H,2.41,8561.91847826087,20634.223532608703
85,85,ARCUEIL-CACHAN,21H-22H,1.24,8561.91847826087,10616.77891304348
86,86,ARCUEIL-CACHAN,22H-23H,0.92,8561.91847826087,7876.965000000001
87,87,ARCUEIL-CACHAN,23H-0H,0.62,8561.91847826087,5308.38945652174
88,88,ARCUEIL-CACHAN,2H-3H,0.0,8561.91847826087,0.0
89,89,ARCUEIL-CACHAN,3H-4H,0.0,8561.91847826087,0.0
90,90,ARCUEIL-CACHAN,4H-5H,0.04,8561.91847826087,342.4767391304348
91,91,ARCUEIL-CACHAN,5H-6H,1.48,8561.91847826087,12671.639347826089
92,92,ARCUEIL-CACHAN,6H-7H,3.66,8561.91847826087,31336.621630434784
93,93,ARCUEIL-CACHAN,7H-8H,10.89,8561.91847826087,93239.29222826088
94,94,ARCUEIL-CACHAN,8H-9H,16.19,8561.91847826087,138617.4601630435
95,95,ARCUEIL-CACHAN,9H-10H,7.57,8561.91847826087,64813.72288043478
96,96,AULNAY-SOUS-BOIS,0H-1H,0.14,15838.554347826086,2217.3976086956523
97,97,AULNAY-SOUS-BOIS,10H-11H,3.99,15838.554347826086,63195.831847826084
98,98,AULNAY-SOUS-BOIS,11H-12H,3.57,15838.554347826086,56543.63902173912
99,99,AULNAY-SOUS-BOIS,12H-13H,4.06,15838.554347826086,64304.530652173904
100,100,AULNAY-SOUS-BOIS,13H-14H,3.71,15838.554347826086,58761.03663043478
101,101,AULNAY-SOUS-BOIS,14H-15H,4.08,15838.554347826086,64621.30173913043
102,102,AULNAY-SOUS-BOIS,15H-16H,5.1,15838.554347826086,80776.62717391303
103,103,AULNAY-SOUS-BOIS,16H-17H,5.69,15838.554347826086,90121.37423913043
104,104,AULNAY-SOUS-BOIS,17H-18H,6.77,15838.554347826086,107227.0129347826
105,105,AULNAY-SOUS-BOIS,18H-19H,4.64,15838.554347826086,73490.89217391303
106,106,AULNAY-SOUS-BOIS,19H-20H,2.71,15838.554347826086,42922.48228260869
107,107,AULNAY-SOUS-BOIS,1H-2H,0.01,15838.554347826086,158.38554347826087
108,108,AULNAY-SOUS-BOIS,20H-21H,1.72,15838.554347826086,27242.31347826087
109,109,AULNAY-SOUS-BOIS,21H-22H,1.18,15838.554347826086,18689.49413043478
110,110,AULNAY-SOUS-BOIS,22H-23H,0.75,15838.554347826086,11878.915760869562
111,111,AULNAY-SOUS-BOIS,23H-0H,0.42,15838.554347826086,6652.192826086955
112,112,AULNAY-SOUS-BOIS,2H-3H,0.26,15838.554347826086,4118.024130434783
113,113,AULNAY-SOUS-BOIS,3H-4H,0.75,15838.554347826086,11878.915760869562
114,114,AULNAY-SOUS-BOIS,4H-5H,2.93,15838.554347826086,46406.96423913044
115,115,AULNAY-SOUS-BOIS,5H-6H,6.4,15838.554347826086,101366.74782608695
116,116,AULNAY-SOUS-BOIS,6H-7H,11.09,15838.554347826086,175649.5677173913
117,117,AULNAY-SOUS-BOIS,7H-8H,13.26,15838.554347826086,210019.2306521739
118,118,AULNAY-SOUS-BOIS,8H-9H,11.58,15838.554347826086,183410.45934782608
119,119,AULNAY-SOUS-BOIS,9H-10H,5.17,15838.554347826086,81885.32597826088
120,120,BAGNEUX,0H-1H,0.18,5624.396739130435,1012.3914130434782
121,121,BAGNEUX,10H-11H,3.75,5624.396739130435,21091.48777173913
122,122,BAGNEUX,11H-12H,3.44,5624.396739130435,19347.924782608698
123,123,BAGNEUX,12H-13H,5.04,5624.396739130435,28346.959565217392
124,124,BAGNEUX,13H-14H,4.51,5624.396739130435,25366.029293478263
125,125,BAGNEUX,14H-15H,3.51,5624.396739130435,19741.632554347827
126,126,BAGNEUX,15H-16H,4.51,5624.396739130435,25366.029293478263
127,127,BAGNEUX,16H-17H,6.4,5624.396739130435,35996.139130434785
128,128,BAGNEUX,17H-18H,10.18,5624.396739130435,57256.35880434782
129,129,BAGNEUX,18H-19H,7.71,5624.396739130435,43364.09885869565
130,130,BAGNEUX,19H-20H,4.47,5624.396739130435,25141.053423913043
131,131,BAGNEUX,1H-2H,0.02,5624.396739130435,112.4879347826087
132,132,BAGNEUX,20H-21H,2.4,5624.396739130435,13498.552173913044
133,133,BAGNEUX,21H-22H,1.31,5624.396739130435,7367.95972826087
134,134,BAGNEUX,22H-23H,1.03,5624.396739130435,5793.128641304348
135,135,BAGNEUX,23H-0H,0.65,5624.396739130435,3655.8578804347826
136,136,BAGNEUX,2H-3H,0.0,5624.396739130435,0.0
137,137,BAGNEUX,3H-4H,0.0,5624.396739130435,0.0
138,138,BAGNEUX,4H-5H,0.03,5624.396739130435,168.73190217391306
139,139,BAGNEUX,5H-6H,1.69,5624.396739130435,9505.230489130436
140,140,BAGNEUX,6H-7H,3.87,5624.396739130435,21766.415380434784
141,141,BAGNEUX,7H-8H,11.27,5624.396739130435,63386.95125
142,142,BAGNEUX,8H-9H,16.14,5624.396739130435,90777.76336956523
143,143,BAGNEUX,9H-10H,7.88,5624.396739130435,44320.246304347835
144,144,BLANC-MESNIL,0H-1H,0.05,3551.989010989011,177.5994505494506
145,145,BLANC-MESNIL,10H-11H,3.79,3551.989010989011,13462.038351648353
146,146,BLANC-MESNIL,11H-12H,3.26,3551.989010989011,11579.484175824175
147,147,BLANC-MESNIL,12H-13H,3.59,3551.989010989011,12751.640549450547
148,148,BLANC-MESNIL,13H-14H,3.28,3551.989010989011,11650.523956043955
149,149,BLANC-MESNIL,14H-15H,3.61,3551.989010989011,12822.68032967033
150,150,BLANC-MESNIL,15H-16H,4.22,3551.989010989011,14989.393626373629
151,151,BLANC-MESNIL,16H-17H,6.02,3551.989010989011,21382.973846153847
152,152,BLANC-MESNIL,17H-18H,6.61,3551.989010989011,23478.64736263737
153,153,BLANC-MESNIL,18H-19H,4.18,3551.989010989011,14847.314065934064
154,154,BLANC-MESNIL,19H-20H,2.65,3551.989010989011,9412.77087912088
155,155,BLANC-MESNIL,1H-2H,0.0,3551.989010989011,0.0
156,156,BLANC-MESNIL,20H-21H,2.08,3551.989010989011,7388.137142857144
157,157,BLANC-MESNIL,21H-22H,1.8,3551.989010989011,6393.5802197802195
158,158,BLANC-MESNIL,22H-23H,1.8,3551.989010989011,6393.5802197802195
159,159,BLANC-MESNIL,23H-0H,0.42,3551.989010989011,1491.8353846153846
160,160,BLANC-MESNIL,2H-3H,0.0,3551.989010989011,0.0
161,161,BLANC-MESNIL,3H-4H,0.0,3551.989010989011,0.0
162,162,BLANC-MESNIL,4H-5H,1.6,3551.989010989011,5683.1824175824195
163,163,BLANC-MESNIL,5H-6H,5.11,3551.989010989011,18150.66384615385
164,164,BLANC-MESNIL,6H-7H,13.72,3551.989010989011,48733.28923076924
165,165,BLANC-MESNIL,7H-8H,14.8,3551.989010989011,52569.43736263737
166,166,BLANC-MESNIL,8H-9H,11.9,3551.989010989011,42268.669230769236
167,167,BLANC-MESNIL,9H-10H,5.5,3551.989010989011,19535.93956043956
168,168,BOURG-LA-REINE,0H-1H,0.25,10464.875,2616.21875
169,169,BOURG-LA-REINE,10H-11H,3.9,10464.875,40813.0125
170,170,BOURG-LA-REINE,11H-12H,3.48,10464.875,36417.765
171,171,BOURG-LA-REINE,12H-13H,4.33,10464.875,45312.90875
172,172,BOURG-LA-REINE,13H-14H,3.91,10464.875,40917.66125000001
173,173,BOURG-LA-REINE,14H-15H,3.39,10464.875,35475.926250000004
174,174,BOURG-LA-REINE,15H-16H,4.1,10464.875,42905.9875
175,175,BOURG-LA-REINE,16H-17H,5.3,10464.875,55463.8375
176,176,BOURG-LA-REINE,17H-18H,7.5,10464.875,78486.5625
177,177,BOURG-LA-REINE,18H-19H,6.22,10464.875,65091.5225
178,178,BOURG-LA-REINE,19H-20H,4.32,10464.875,45208.26
179,179,BOURG-LA-REINE,1H-2H,0.1,10464.875,1046.4875
180,180,BOURG-LA-REINE,20H-21H,2.46,10464.875,25743.5925
181,181,BOURG-LA-REINE,21H-22H,1.47,10464.875,15383.36625
182,182,BOURG-LA-REINE,22H-23H,1.15,10464.875,12034.60625
183,183,BOURG-LA-REINE,23H-0H,0.74,10464.875,7744.0075
184,184,BOURG-LA-REINE,2H-3H,0.0,10464.875,0.0
185,185,BOURG-LA-REINE,3H-4H,0.0,10464.875,0.0
186,186,BOURG-LA-REINE,4H-5H,0.11,10464.875,1151.13625
187,187,BOURG-LA-REINE,5H-6H,1.07,10464.875,11197.41625
188,188,BOURG-LA-REINE,6H-7H,3.66,10464.875,38301.44250000001
189,189,BOURG-LA-REINE,7H-8H,13.08,10464.875,136880.565
190,190,BOURG-LA-REINE,8H-9H,20.26,10464.875,212018.3675
191,191,BOURG-LA-REINE,9H-10H,9.19,10464.875,96172.20125
192,192,BURES-SUR-YVETTE,0H-1H,0.01,1350.4565217391305,13.504565217391304
193,193,BURES-SUR-YVETTE,10H-11H,3.67,1350.4565217391305,4956.175434782609
194,194,BURES-SUR-YVETTE,11H-12H,3.78,1350.4565217391305,5104.725652173913
195,195,BURES-SUR-YVETTE,12H-13H,8.57,1350.4565217391305,11573.412391304351
196,196,BURES-SUR-YVETTE,13H-14H,3.89,1350.4565217391305,5253.275869565217
197,197,BURES-SUR-YVETTE,14H-15H,3.47,1350.4565217391305,4686.084130434782
198,198,BURES-SUR-YVETTE,15H-16H,9.85,1350.4565217391305,13301.996739130434
199,199,BURES-SUR-YVETTE,16H-17H,9.72,1350.4565217391305,13126.437391304351
200,200,BURES-SUR-YVETTE,17H-18H,16.34,1350.4565217391305,22066.459565217392
201,201,BURES-SUR-YVETTE,18H-19H,8.5,1350.4565217391305,11478.88043478261
202,202,BURES-SUR-YVETTE,19H-20H,4.22,1350.4565217391305,5698.926521739129
203,203,BURES-SUR-YVETTE,1H-2H,0.0,1350.4565217391305,0.0
204,204,BURES-SUR-YVETTE,20H-21H,1.82,1350.4565217391305,2457.8308695652177
205,205,BURES-SUR-YVETTE,21H-22H,0.92,1350.4565217391305,1242.42
206,206,BURES-SUR-YVETTE,22H-23H,0.65,1350.4565217391305,877.7967391304347
207,207,BURES-SUR-YVETTE,23H-0H,0.28,1350.4565217391305,378.12782608695665
208,208,BURES-SUR-YVETTE,4H-5H,0.2,1350.4565217391305,270.09130434782605
209,209,BURES-SUR-YVETTE,5H-6H,0.86,1350.4565217391305,1161.392608695652
210,210,BURES-SUR-YVETTE,6H-7H,3.33,1350.4565217391305,4497.020217391305
211,211,BURES-SUR-YVETTE,7H-8H,8.63,1350.4565217391305,11654.439782608697
