Unnamed: 0.1,Unnamed: 0.1.1,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2,candidat_last_name,candidat_couleur,nom,year,population,pct_ch,steps
0,0,78561,77.11,3.91,36311.0,66.26,0.57,16.34,32.08,24.54,François FILLON,,36311.47,,,,2113.0,FILLON,#2166ac,Saint-Lambert,1962,224.0,1.1666666666666667,2
1,9,91338,70.49,6.92,28123.0,459.76,0.41,15.59,33.15,24.57,Emmanuel MACRON,5.0,28122.78,,,,2881.0,MACRON,#f0a399,Limours,1962,1965.0,1.1613475177304964,2
2,18,91122,71.18,8.05,31769.0,2145.45,0.64,19.35,32.72,25.99,Emmanuel MACRON,5.0,31768.89,,,,3848.0,MACRON,#f0a399,Bures-sur-Yvette,1962,3682.0,1.9207094418362023,2
3,27,78343,78.39,6.29,37659.0,620.88,0.63,21.62,30.88,26.07,François FILLON,,37659.33,,,,4044.0,FILLON,#2166ac,Les Loges-en-Josas,1962,596.0,1.2521008403361344,2
4,36,91679,74.4,7.32,31538.0,201.8,0.54,19.32,31.87,25.61,Emmanuel MACRON,,31538.4,,,,3673.0,MACRON,#f0a399,Villiers-le-Bâcle,1962,238.0,1.0967741935483872,2
5,45,78620,70.92,6.7,32816.0,249.63,0.62,20.01,31.45,25.85,Emmanuel MACRON,,32816.4,,,,3914.0,MACRON,#f0a399,Toussus-le-Noble,1962,208.0,1.3164556962025316,2
6,54,78143,84.56,6.79,34954.0,287.02,0.67,19.17,31.89,25.58,Emmanuel MACRON,,34953.67,,,,3631.0,MACRON,#f0a399,Châteaufort,1962,717.0,1.24263431542461,2
7,63,91275,71.14,6.85,29234.0,523.35,0.51,17.61,32.84,25.3,Emmanuel MACRON,,29234.0,,,,3365.0,MACRON,#f0a399,Gometz-le-Châtel,1962,762.0,1.6387096774193548,2
8,72,78322,61.43,9.02,33588.0,801.07,0.62,22.8,31.16,26.71,Emmanuel MACRON,7.0,33588.33,,,,4420.0,MACRON,#f0a399,Jouy-en-Josas,1962,4143.0,1.6323877068557922,2
9,81,78117,66.54,7.03,33116.0,651.55,0.63,22.85,30.94,26.6,Emmanuel MACRON,,33115.71,,,,4426.0,MACRON,#f0a399,Buc,1962,1965.0,1.789617486338798,2
